pkid,item_code,item_name,drawing_no,quantity,pn,pn_code,order_no,part_no,mm,customer_pn,code,remarks,lastupdate,username,logdel
,003638701,IC160Z-0324-2401,A100153038 E,500,,,,,,,,,12/12/2017 8:05,marlope,0
,101740101,IC160Z-0324-2411,A100153041 E,500,,,,,,,,,12/12/2017 8:05,marlope,0
,003638801,IC160Z-0444-2401,A100153009 E,400,,,,,,,,,12/12/2017 8:05,marlope,0
,101993701,IC160Z-0444-2411,A100153027 E,400,,,,,,,,,12/12/2017 8:05,marlope,0
,003638501,IC160Z-0204-2401,A100153007 E,500,,,,,,,,,12/12/2017 8:05,marlope,0
,003639001,IC160Z-0684-2401,A100153011 E,250,,,,,,,,,12/12/2017 8:05,marlope,0
,003639401,IC160Z-0324-3001,A100154026 B,500,,,,,,,,,12/12/2017 8:05,marlope,0
,003639501,IC160Z-0444-3001,A100154009 B,400,,,,,,,,,12/12/2017 8:05,marlope,0
,003639201,IC160Z-0204-3001,A100154007 B,500,,,,,,,,,12/12/2017 8:05,marlope,0
,003667401,FPS009-3006,A100426001 A,500,,,,,,,,,12/12/2017 8:05,marlope,0
,101580501,FPS009Z-2401-0,A100572001 B,600,,,,,,,,,12/12/2017 8:05,marlope,0
,100619001,FPS009Z-2402-0,A100573001 A,500,,,,,,,,FTPb,12/12/2017 8:05,marlope,0
,003707401,FMS006-2310-0,A100698001 B,500,,,,,,,,FTPb,12/12/2017 8:05,marlope,0
,003734801,FMS006-2310-0(01),A100905001 A,500,,,,,,,MAY-XA0004-T001,,12/12/2017 8:05,marlope,0
,100113401,FMS006Z-2100-0,A101000001 B,800,,,,,,,,,12/12/2017 8:05,marlope,0
,100332601,CN048S-0007-0(01),A101179001 C,2500,,,,,,,,,12/12/2017 8:05,marlope,0
,100435201,CN048S-0007-0(02),A101399001 A,2500,,,,,,,,,12/12/2017 8:05,marlope,0
,100627701,HF503-32-01(01),A101943001 C,500,,,,,,,,QSOCNA239WJZZY,12/12/2017 8:05,marlope,0
,100628301,HF503-32-02(01),A101966001 D,300,,,,,,,,QSOCNA289WJZZY,12/12/2017 8:05,marlope,0
,100797901,FMS006Z-2100-0(01),A101986001 A,800,,,,,,,,K1A06E00005,12/12/2017 8:05,marlope,0
,101596001,IC179-44600-5001(02),A102022001 B,250,,,,,,,,,12/12/2017 8:05,marlope,0
,100895401,HF503-32-01,A102144001 B,500,,,,,,,,,12/12/2017 8:05,marlope,0
,100895501,HF503-32-02,A102145001 B,500,,,,,,,,,12/12/2017 8:05,marlope,0
,100770301,FMS006-2501-0(01),A102282001 A,750,,,,,,,,MAY-XA0007-T002,12/12/2017 8:05,marlope,0
,101013001,FMS006Z-2101-0,A102403001 A,800,,,,,,,,,12/12/2017 8:05,marlope,0
,100971101,FMS006-2710-0(01),A102896001 B,500,,,,,,,,FTPb,12/12/2017 8:05,marlope,0
,100959401,FPS009-3202-BL(01),A102947001 A,500,,,,,,,,QSOCZA050WJZZY,12/12/2017 8:05,marlope,0
,101082101,FMS006Z-2001-1,A102987001 A,800,,,,,,,,,12/12/2017 8:05,marlope,0
,101082701,FMS006Z-2101-1,A102988001 A,800,,,,,,,,,12/12/2017 8:05,marlope,0
,101380301,IC306-070-1100(01),A103043001 B,200,,,,,,,,,12/12/2017 8:05,marlope,0
,101077201,FMS006-2320-0(01),A103196001 C,500,,,,,,,MAT-XA0002-T001,,12/12/2017 8:05,marlope,0
,102086201,FMS006-2320-0,A103499001 A,500,,,,,,,,,12/12/2017 8:05,marlope,0
,101195201,HF503-38-01,A103613001 B,500,,,,,,,,,12/12/2017 8:05,marlope,0
,101286401,FMS006Z-2000-0(01),A103838001 B,800,,,,,,,,R-Pb,12/12/2017 8:05,marlope,0
,101428001,FMS006Z-2000-0,A104114001 A,800,,,,,,,,,12/12/2017 8:05,marlope,0
,101602601,IC179Z-44600-5001,A104124008 C,500,,,,,,,,,12/12/2017 8:05,marlope,0
,101601801,IC179Z-28450-500,A104124001 C,500,,,,,,,,,12/12/2017 8:05,marlope,0
,101602001,IC179Z-28450-501,A104124009 C,500,,,,,,,,,12/12/2017 8:05,marlope,0
